                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.2891,                0.90532,                 1.5232,                0.64004,                 0.6573,                0.66871,                0.35997,                 1.4762,                0.89398,                 1.7016,             0.00012608,             0.00012608,             0.00012608
                     89,                  1.273,                0.90446,                 1.5181,                0.66838,                0.65743,                0.67525,                0.36345,                 1.4662,                0.89384,                 1.6995,             0.00011708,             0.00011708,             0.00011708
                     90,                 1.2586,                0.89467,                 1.5107,                0.66091,                0.65996,                 0.6687,                  0.361,                  1.465,                0.89791,                 1.6946,             0.00010808,             0.00010808,             0.00010808
                     91,                 1.2348,                0.80386,                 1.5078,                0.63239,                0.65078,                0.65807,                 0.3503,                 1.4797,                0.90362,                 1.7137,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                 1.2267,                0.77582,                 1.5017,                0.66001,                0.65816,                0.66577,                0.35772,                 1.4727,                0.90421,                 1.7125,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                 1.2192,                0.76541,                  1.495,                0.65907,                0.65763,                0.67242,                0.35833,                 1.4769,                0.89383,                 1.7113,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                  1.214,                0.75596,                 1.4902,                0.65594,                0.66183,                0.67804,                0.36356,                 1.4695,                0.88203,                 1.7068,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                 1.2064,                0.75653,                  1.489,                0.64683,                0.66429,                0.66957,                0.35887,                 1.4721,                0.89027,                 1.7142,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                 1.2072,                0.75459,                 1.4856,                0.65784,                0.64961,                0.66961,                0.36034,                 1.4722,                0.88884,                 1.7144,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                  1.201,                0.74494,                 1.4785,                 0.6412,                0.67094,                0.66919,                0.36077,                 1.4698,                 0.8871,                 1.7114,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                 1.1909,                0.74725,                 1.4846,                0.66374,                0.65484,                0.67446,                0.36295,                 1.4719,                0.88259,                 1.7113,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                 1.1937,                0.74195,                 1.4875,                0.65443,                0.66905,                0.67077,                0.36227,                 1.4661,                 0.8794,                 1.7045,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                 1.1961,                0.73867,                 1.4791,                0.63555,                0.67973,                0.66992,                0.36107,                 1.4655,                0.87857,                  1.704,             1.8089e-05,             1.8089e-05,             1.8089e-05
